,headline,excerpt,share_text
73,people ask lesbian questions raised eyebrow game shames us,Things that matter. Pass 'em on.,"If you don't chuckle at LEAST twice, I don't know what to do with you."
74,people ask lesbian questions raised eyebrow game shames us,Things that matter. Pass 'em on.,I love how it's simultaneously hilarious and really informative.
75,kim jong un would really hate watch exactly,Things that matter. Pass 'em on.,I thought I knew what life was like in North Korea. Turns out I had no idea. 
76,kim jong un would really hate watch exactly,“...the only country in the world that executes people for making unauthorized international phone calls.”,I thought I knew what life was like in North Korea. Turns out I had no idea. 
77,dictator would really hate watch exactly,Things that matter. Pass 'em on.,I thought I knew what life was like in North Korea. Turns out I had no idea. 
78,dictator would really hate watch exactly,Things that matter. Pass 'em on.,I thought I knew what life was like in that country. Turns out I had no idea. 
79,people freak hits public watch happens hits,Things that matter. Pass 'em on.,
80,people freak hits public watch happens hits,Things that matter. Pass 'em on.,
81,people freak hits public watch happens hits,Things that matter. Pass 'em on.,
82,lot celebs stare awkwardly camera without saying word quiet,Things that matter. Pass 'em on.,
83,bright eyed young people shared secret stomach dropped,Things that matter. Pass 'em on.,"First they share their passion, then they share a defining moment in their life."
84,people freak hits public watch happens hits,Things that matter. Pass 'em on.,
85,bright eyed young people shared secret stomach dropped,Things that matter. Pass 'em on.,They didn't think it could happen to them.
86,bright eyed young people shared secret stomach dropped,Things that matter. Pass 'em on.,But first they share their passion.
87,bright eyed young people shared secret stomach dropped,Things that matter. Pass 'em on.,"Wow, I can't imagine going through something like that."
88,bright eyed young people shared secret stomach dropped,Things that matter. Pass 'em on.,I have so much respect for them.
89,bunch celebs actually shut ebola,Things that matter. Pass 'em on.,
90,thought sharing passion stomach dropped,Things that matter. Pass 'em on.,They didn't think it could happen to them.
91,bright eyed young people shared secret stomach dropped,Things that matter. Pass 'em on.,They didn't think it could happen to them.
92,seemingly okay individuals shared secret stomach dropped,Things that matter. Pass 'em on.,They didn't think it could happen to them.
93,secret made stomach drop also binds together,Things that matter. Pass 'em on.,They didn't think it could happen to them.
94,lot celebs stare awkwardly camera without saying word quiet,Things that matter. Pass 'em on.,
95,lot celebs stare awkwardly camera without saying word quiet,Things that matter. Pass 'em on.,
96,lot celebs stare awkwardly camera without saying word quiet,Things that matter. Pass 'em on.,
97,lot celebs stare awkwardly camera without saying word quiet,Things that matter. Pass 'em on.,
98,probably lgbt kids need reminded gets better,Things that matter. Pass 'em on.,
99,lgbt folks made lot progress except much one place,Things that matter. Pass 'em on.,
100,think anti gay bias thing past probably high school student,Things that matter. Pass 'em on.,
101,f word hurting lot kids f word,Things that matter. Pass 'em on.,
102,ben wakes goes job capitol hill every morning like many others,Things that matter. Pass 'em on.,
103,says job like person one,Things that matter. Pass 'em on.,
104,tolerance washington true swear meet ben,Things that matter. Pass 'em on.,
105,ever worked capitol hill,Things that matter. Pass 'em on.,
106,years ago tv show got daring took ton guts air scene,Just because you don't hear it doesn't mean it isn't happening.,
107,year old came best bro response gave feels,Things that matter. Pass 'em on.,
108,years ago tv show got daring took ton guts air scene,Just because you don't hear it doesn't mean it isn't happening.,I want to give this a million rounds of applause.
109,reading dinner monoliths joseph lamour,,
110,first dinner boyfriend parents went,,
111,music video favorite people even real people,,
112,one artist made parents uncomfortable ever,,
113,gave kid barbie doll real proportions say next really says,What happens when toys get real?,They're only 2nd graders. But that's what makes this so incredible.
114,year old came best bro response gave feels,And the #BreakTheInternetAward goes to ....,I hugged my computer when I saw the response from a bro to his best friend.
