,headline,excerpt,share_text
1228,might think know mormon woman going say gay people watch,This is a pretty big deal.,
1229,asked men makes perfect woman ellen chimes,"Blonde hair, blue eyes? Give me a break.",I was kind of annoyed until Ellen DeGeneres made it funny and way better.
1230,asked men makes perfect woman ellen chimes,"Blonde hair, blue eyes? Give me a break.",Lamest survey results ever? 
1231,asked men makes perfect woman ellen chimes,"Blonde hair, blue eyes? Give me a break.",What would you add to her list? 
1232,asked men makes perfect woman ellen chimes,"Blonde hair, blue eyes? Give me a break.",The Ellen DeGeneres Show wins again. 
1233,call empathy network part brain makes us care,I see ...,
1234,rarely graphic make feel like make difference world one,Things that matter. Pass 'em on.,
1235,rarely graphic make feel like make difference world one,Things that matter. Pass 'em on.,
1236,hit head right actually become sociopath,I see ...,
1237,rarely graphic make feel like make difference world one,Things that matter. Pass 'em on.,
1238,rarely graphic make feel like make difference world one,Things that matter. Pass 'em on.,
1239,job success predicted something iq,"You can learn it, but you can't force people to get it.",
1240,potential boyfriends broke,Stories that matter. Pass them on and on. ,
1241,potential boyfriends broke,Stories that matter. Pass them on and on. ,
1242,potential boyfriends broke,Stories that matter. Pass them on and on. ,
1243,started diary help understand called slut part unslutting world,,
1244,wrestler writer helping people see anyone feminist,,
1245,experiment cookies yes cookies explains bosses jerks,I see ...,
1246,calls cookie monster study shows power screws brain,I see ...,
1247,kids love art better everything,Things that matter. Pass 'em on.,
1248,want bang drum day totally going win future,Things that matter. Pass 'em on.,
1249,noticed huge problem condoms fixed,I never really thought about the difference the packaging might make. ,
1250,noticed huge problem condoms fixed,I never really thought about the difference the packaging might make. ,
1251,fixed huge problem condoms us busy getting notice,I never really thought about the difference the packaging might make. ,
1252,bet never noticed magnum sized problem condoms fixed,I never really thought about the difference the packaging might make. ,
1253,problem condoms solved thanks absolute visionary,I never really thought about the difference the packaging might make. ,
1254,one little problem condoms one talked fixed,I never really thought about the difference the packaging might make. ,
1255,girls dropping high school get married,I've never seen it presented like this. ,
1256,electronic music mixed serious human rights issue surely turn heads,I've never seen it presented like this. ,
1257,new music video shows like child bride,I've never seen it presented like this. ,
1258,trying decide risky sex happiness,It all starts with your first email.,
1259,new music video shows like child bride,I've never seen it presented like this.,
1260,new music video shows like child bride,I've never seen it presented like this.,
1261,new music video shows like child bride,I've never seen it presented like this.,
1262,new music video shows like child bride,I've never seen it presented like this.,
1263,new music video shows like child bride,I've never seen it presented like this.,
1264,cynics say deserve whatever get better,,
1265,making tons money ripping us care people hurt,,
1266,scariest part get worse unless people start using heads,,
1267,convince problem wrong,,
1268,people think deserve sure know,,
1269,may hard solve tricky problems spoiler alert easy fix,,
1270,guy jumps around woods waves hands reveals best reason let go,,
1271,let go song secret trick even smarter,,
1272,may found hidden switch flip unlock personal genius,,
1273,sometimes wonder think may need ignore better judgement,,
1274,lot studies fluoride water scary stuff found,,
1275,lot studies fluoride water scary stuff found,,"""Some people argue it has many risks, including those to the brain, thyroid gland, and bones. Others make much more alarmist statements calling fluoride a 'corrosive poison.'"""
1276,lot studies fluoride water scary stuff found,,"""Of course, preventing cavities might not be worth endangering your heath in other ways. So, is fluoride really safe?"""
1277,lot studies fluoride water scary stuff found,,"""There is also no generally accepted scientific evidence establishing a link between fluoridated water and other neurological disorders, including attention deficit disorder."""
1278,extremely sexist thing company probably right,,
1279,seeing mom harassed little kid decided send big message world,,This little kid has a big message for guys checking out his mom.
1280,seeing mom harassed little kid decided send big message world,Warning: This is the catchiest song you'll hear all day.,This little kid has a big message for guys checking out his mom.
1281,seeing mom harassed little kid decided send big message world,This kid's got major talent.,This little kid has a big message for guys checking out his mom.
1282,seeing mom harassed little kid decided send big message world,"Here's a kid you don't wanna mess with, fellas.",This little kid has a big message for guys checking out his mom.
1283,stories abortion never heard one talks part,This is what happened when she was $15 short. Wow. ,
1284,extremely sexist thing company probably right,,
1285,stories abortion never heard one talks part,This is what happened when she was $15 short. Wow. ,
1286,new disney princess block pretty cool even cooler,,
1287,new disney princess block pretty cool even cooler,,
1288,new disney princess block pretty cool even cooler,,
1289,new disney princess block pretty cool even cooler,,
1290,job success predicted something iq,It all starts with your first email.,
1291,stories abortion never heard one talks part,This is what happened when she was $15 short. Wow. ,
1292,stories abortion never heard one talks part,This is what happened when she was $15 short. Wow. ,
1293,next time aunt tags gratitude challenge sprain eye roll muscle,It all starts with your first email.,
1294,get better sales productive faster accurate minutes day,It all starts with your first email.,
1295,extremely sexist thing company probably right,,
1296,extremely sexist thing company probably right,,
1297,extremely sexist thing company probably right,,
1298,extremely sexist thing company probably right,,
1299,rewire brain minutes day without app,More productivity. More brilliance. More joy.,Trying this!
1300,carnegies rockefellers tried silence jail time work well,Fascinating.,
1301,carnegies rockefellers tried silence jail time work well,Fascinating.,
1302,extremely sexist decision lot bosses continue make,"We've known about it for decades, and it's still happening.",Most CEOs don't even know that they're totally violating #LillyLedbetter 
1303,extremely sexist decision lot bosses continue make,"We've known about it for decades, and it's still happening.","A lot of them do it subconsciously, but that still doesn't make it right. "
1304,reason bill maher thinks nfl great might surprise,This is great. ,
1305,ready football socialism,This is great. ,
1306,nfl super bowl actually kinda subversive really,This is great. ,
1307,facts sick days might get tummy turning,Yeah ... we should fix this.,
1308,carnegies rockefellers tried silence jail time work well,Fascinating.,
1309,extremely sexist decision lot bosses continue make,"We've known about it for decades, and it's still happening.",This makes me so mad. #LillyLedbetter #EqualPay
1310,know germs around true truths lies right,,
1311,eek soap kill germs mean stop washing hands constantly,,
1312,lies lies lies things people say germs well true,,
1313,fly air greatest ease nasty old germs back sneeze,,
1314,even think know need know germs may surprise,,
1315,thought would eaten alive instead got winning photograph made care,,In 1 second I realized just how dangerous this was.
1316,thought would eaten alive instead got winning photograph made care,,
1317,thought would eaten alive instead got winning photograph made care,,
1318,staying clean germy world takes work straight poop ew sorry bad word choice,,
1319,staying clean germy world takes work straight poop ew sorry bad word choice,,
1320,key genius may learning ignore something brain wants tell,,
1321,key genius may learning ignore something brain wants tell,,There’s a part of your brain you should turn off to unlock your imagination.
1322,key genius may learning ignore something brain wants tell,,Turns out bad ideas are the price we pay for great ones.
1323,surprised conservatives noticed football nfl super bowl,,"The NFL would probably deny this, but facts don't lie."
1324,surprising thing makes nfl different sports,,"The NFL would probably deny this, but facts don't lie."
1325,way nfl super bowl secretly socialist,,"The NFL would probably deny this, but facts don't lie."
1326,nsfw explanation nfl little secret hilarious dead,,"The NFL would probably deny this, but facts don't lie."
1327,big scandal everybody mind super bowl one wants talk,,
1328,bill nye solves deflategate putting things perspective,,
1329,famous scientist tries prove tom brady wrong makes huge important point,,
1330,comedian reveals little secret nfl way explains pure genius,,"The NFL would probably deny this, but facts don't lie."
1331,everyone stand back nerd explaining sports things putting perspective,,
1332,famous scientist takes deflate gate ends thank much,,
1333,women want exactly one kind man unfortunately men want exactly one kind woman,"And yet, the world must be peopled...",
1334,women want one kind man unfortunately men want one kind woman,"And yet, the world must be peopled...",
1335,men want one kind woman unfortunately women want one kind man,"And yet, the world must be peopled...",
1336,women want kind man unfortunately men want kind woman,"And yet, the world must be peopled...",
1337,words hurt took knew community taught town thing,,
1338,group bullied friends plan city since,You're probably going to really dig this.,
1339,bullied pent unfairness using change town,,
1340,outcasts town figured secret weapon turn ideas around,,
1341,gives one funniest talks heard tried said worked think,,
1342,hilarious women apologize people watched viral abortion apology video,Hilariously relevant.,
1343,hilarious women apologize people watched viral abortion apology video,Hilariously relevant.,"Some badass women apologize for that Christian abortion apology video.
"
1344,hilarious women apologize people watched viral abortion apology video,Hilariously relevant.,"These women point out what's wrong with the logic of men apologizing for their partner's abortions.
"
1345,seeing mom harassed men little kid decided send big message world,,
1346,hilarious women apologize people watched viral abortion apology video,Hilariously relevant.,"This might be a Funny or Die video, but I definitely teared up a little bit."
1347,hilarious women apologize people watched viral abortion apology video,Hilariously relevant.,"Find out what's wrong with that viral abortion apology video in 2 minutes.
"
1348,seeing mom harassed men little kid decided send big message world,,
1349,seeing mom harassed men little kid decided send big message world,,
1350,seeing mom harassed men little kid decided send big message world,,
1351,stop watching news happened one expected would end like,Bad news turns into good news. Pass it on.,
1352,crisis brings neighbors together,Bad news turns into good news. Pass it on.,
1353,scientists tested theory human nature toddlers results may surprise,We're not naturally selfish after all.,The way these toddlers are behaving debunks an age-old myth about human nature.
1354,scientists tested theory human nature toddlers results give hope,We're not naturally selfish after all.,The way these toddlers are behaving debunks an age-old myth about human nature.
1355,toddlers may hold key researching human nature,We're not naturally selfish after all.,The way these toddlers are behaving debunks an age-old myth about human nature.
1356,young boy philly explains young girl side globe racism,"""The world is as big or as small as you make it.""",
1357,young boy philly explains young girl side globe racism,"""The world is as big or as small as you make it.""",
1358,kids philly explain young girl side globe racism,"""The world is as big or as small as you make it.""",
1359,young boy philly explains young girl side globe racism,"""The world is as big or as small as you make it.""",
1360,kids philly explain young girl side globe racism,"""The world is as big or as small as you make it.""",
1361,kids philly explain young girl side globe racism,"""The world is as big or as small as you make it.""",
1362,kids philly explain young girl side globe racism,"""The world is as big or as small as you make it.""",
1363,kids philly explain young girl side globe racism,"""The world is as big or as small as you make it.""",
1364,seeing mom harassed men little kid decided send big message world,,
1365,cat develops innovative recycling program,"Get a cat, they're good for the environment. Kinda.",
1366,setting great example say great meant adorable,"Get a cat, they're good for the environment. Kinda.",
1367,learn lot cat especially cat,"Get a cat, they're good for the environment. Kinda.",
1368,disturbing minute video might keep kid alive,,
1369,disturbing minute video might keep kid alive,You just need a few minutes to watch and an hour to make some changes. That's it. ,
1370,disturbing minute video might keep kid alive,The parents who have lost their children wish they'd have known. ,
1371,parody vaccine debate exactly need right,"Here's a 59-second parody on Viagra. I mean, vaccines. ",
1372,agreed die early could perfect body yep die,People and stories that matter. Pass them on and on. ,"""You are good enough."""
1373,agreed die early could perfect body yep die,People and stories that matter. Pass them on and on. ,"""The perfect body that so many people are chasing after is like 20% below the ideal healthy weight."""
1374,agreed die early could perfect body yep die,People and stories that matter. Pass them on and on. ,This has gotten so out of control. 
1375,agreed die early could perfect body yep die,People and stories that matter. Pass them on and on. ,"""I would weigh myself every day, obsess over love handles and thigh gaps and arm flaps."""
1376,us meat animal research center beyond anyone control,,
1377,parody vaccine debate exactly need right,"Here's a 59-second parody on Viagra. I mean, vaccines. ",
1378,parody vaccine debate exactly need right,"Here's a 59-second parody on Viagra. I mean, vaccines. ",
1379,parody vaccine debate exactly need right,"Here's a 59-second parody on Viagra. I mean, vaccines.",
1380,parody vaccine debate exactly need right,"Here's a 59-second parody on Viagra. I mean, vaccines. ",
1381,reveals happens animals shocked fights back tears,,
1382,done name made science experiments shock even people support animal testing,,
1383,abusing animals improve meat production meat industry wants nothing,,
1384,control government agency inexcusable things animals,,
1385,tens thousands animals unlucky enough come people sleep,,
1386,arrested men show gay furious nsfw response,"She gets angry, and the crowd goes w-i-l-d. ","OH, HELL NO."
1387,russia threatened arrested speaking furious nsfw response,"She gets angry, and the crowd goes w-i-l-d. ","She gets angry, and the crowd goes w-i-l-d. "
1388,newborn lambs left die wild experiment create cheaper sheep,,
1389,surgeons doctors scientists care u meat animal research center,,
1390,arrested people show gay behavior furious nsfw response,"She gets angry, and the crowd goes w-i-l-d. ",
1391,russian president threatened fans furious nsfw response,"She gets angry, and the crowd goes w-i-l-d. ","She gets angry, and the crowd goes w-i-l-d. "
1392,watch woman plans turning black history month drinking game,,
1393,football team taking towels show men check cancer,,
1394,wanted wear short skirt fear called,Stories that matter. Pass them on. Share them.,
1395,wanted rock short skirt fear joined,Stories that matter. Pass them on. Share them.,
1396,wanted wear short skirt love fat thighs fear called,Stories that matter. Pass them on. Share them.,
1397,girls want rock short skirts fear got backs,Stories that matter. Pass them on. Share them.,
1398,passionate intense love fat thighs fear,Stories that matter. Pass them on. Share them.,
1399,tens thousands animals unlucky enough come people sleep,,
1400,tens thousands animals unlucky enough people sleep,,
1401,thousands animals unlucky enough find people sleep,,
1402,tens thousands animals worst luck ever people sleep,,
1403,worst luck ever animals find people look mirror,,
1404,reason songs radio sound might make blush,It's not what you expect.,Who made pop music so repetitive? You did.
1405,see hands may hesitate soon say,,"To him it’s just the way it is. Anyway, he had something more extraordinary in mind."
1406,die took er next time time,,
1407,things happen april st st april fools nd sucks souls year olds,,
1408,call practice torture putting year olds wrong,,
1409,parent shocked third grader sit know say,,
1410,children judged one single test took days oh wait,,
1411,wanted rock short skirt fear joined,Stories that matter. Pass them on. Share them.,Over 6000 girls have no problem using ‘V-Day’ to make a really important point. 
1412,wanted rock short skirt fear joined,Stories that matter. Pass them on. Share them.,This is so much better than one of those store bought #ValentinesDay cards.
1413,wanted rock short skirt fear joined,Stories that matter. Pass them on. Share them.,"If I spent Valentine’s Day with these girls, my heart would be so happy."
1414,wanted rock short skirt fear joined,Stories that matter. Pass them on. Share them.,They're changing how people think about #ValentinesDay and it's about friggin' time. 
1415,see hands may hesitate soon say,,
1416,party unprepared response got gonna nail em,So satisfying.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1417,party unprepared naysayers gonna nail em,So satisfying.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1418,see hands may hesitate soon say,,"Others might be shy about being different. To him, it’s more like it’s just a fact, and he puts it front and center."
1419,tens thousands animals unlucky enough come people sleep,,
1420,called comedian makes jokes science climate change,,
1421,called comedian makes jokes science global warming,,
1422,topic serious made pretty funny,,
1423,makes jokes minutes get pretty real mean funny,,
1424,happens men ages want spot,,
1425,totally nsfw video teaching men check testicular cancer,,
1426,ball players checking well b tv help men,,
1427,video probably want share favorite men could save,,
1428,men need squeeze month show,,
1429,football team taking towels show men check cancer,,
1430,football team taking towels show men check cancer,,
1431,football team taking towels show men check cancer,,
1432,football team taking towels show men check cancer,,
1433,football team taking towels show men check cancer,,
1434,football team taking towels show men check cancer,,
1435,elizabeth warren years old something happened changed family future,What a minimum wage job in the 1960s meant to a working mom compared to today.,♥ ❤ ♥ ❤ ♥ ❤ ♥ ❤
1436,used think evil corporate fatcat think might superman,Wow. Just...wow.,
1437,used think evil corporate fatcat think might superman,Wow. Just...wow.,
1438,used think evil corporate fatcat think might superman,Wow. Just...wow.,
1439,used think evil corporate fatcat think might superman,Wow. Just...wow.,
1440,football team taking towels show men check cancer,,
1441,shy love addictive crop grow,,
1442,thing grow thing need grow thing want grow,,
1443,since stopped competing free embrace precious bean,,
1444,guess smelled day happy,,
1445,one knew happen blew bubble got exactly came,,One dolphin toy just changed the way we think about these smiling mammals.
1446,one knew happen blew bubble got exactly came,,Sometimes it's obvious.
1447,one knew happen blew bubble got exactly came,,"It's just the tip, you know?"
1448,one knew happen blew bubble got exactly came,,I'm looking at you Sea World.
1449,football team taking towels show men check cancer,,
1450,football team taking towels show men check cancer,,It's so easy.
1451,football team taking towels show men check cancer,,It took me less then a second to realize why I needed to see this.
1452,inside long colleague forced get hilarity ensues,When was the last time you went outside?,
1453,inside long colleague forced get hilarity ensues,When was the last time you went outside?,
1454,inside long colleague forced get hilarity ensues,When was the last time you went outside?,
1455,inside long colleague forced get hilarity ensues,When was the last time you went outside?,
1456,inside long colleague forced get hilarity ensues,When was the last time you went outside?,
1457,inside long colleague forced get hilarity ensues,When was the last time you went outside?,
1458,drink get day day,,
1459,drink get day day,,
1460,drink get day day,,
1461,drink get day day,,
1462,drink get day day,,
1463,celebs care talking people stand right,Celebs speaking out? Count me in.,
1464,john oliver explains shady drug companies really,It's bad.,
1465,john oliver explains shady drug companies really,It's bad.,
1466,john oliver explains shady drug companies really,It's bad.,
1467,john oliver explains shady drug companies really,It's bad.,
1468,musicians strong message lgbt youth want everyone hear,Celebs speaking out? Count me in.,
1469,asked celebs support lgbtq friends answers spot,Celebs speaking out? Count me in.,
1470,john oliver explains shady drug companies really,It's bad.,
1471,world scrutinizes celebs every word ones amazing,Celebs speaking out? Count me in.,
1472,celebs using influence greatest way need,Celebs speaking out? Count me in.,
1473,one knew happen blew bubble got exactly came,,One dolphin toy just changed the way we think about these smiling mammals.
1474,one knew happen blew bubble got exactly came,,I'm looking at you Sea World.
1475,one knew happen blew bubble got exactly came,,Sometimes it's obvious.
1476,one knew happen blew bubble got exactly came,,"It's just the tip, you know?"
1477,bunch celebrities use fame give kids fantastic advice kind greatest,Celebs speaking out? Count me in.,The world scrutinizes these celebs' every word. That's why these ones are so amazing.
1478,bunch celebrities use fame give kids fantastic advice kind greatest,Celebs speaking out? Count me in.,They asked these celebs how to support LGBTQ friends. Their answers are spot on.
1479,bunch celebrities use fame give kids fantastic advice kind greatest,Celebs speaking out? Count me in.,
1480,bunch celebrities use fame give kids fantastic advice kind greatest,Celebs speaking out? Count me in.,"Jack Antonoff, Ingrid Michaelson, Lena Dunham, and more, give advice to LGBTQ youth and their friends. More of this please? Kthnx."
1481,bunch celebrities use fame give kids fantastic advice kind greatest,Celebs speaking out? Count me in.,I always wish celebs would actually use their fame to talk about something important. Looks like these famous musicians are doing just that.
1482,epic response fat people sexy slightly safe work worth,,I wish this was the appropriate response anytime someone was this flat out rude. 
1483,epic response fat people sexy slightly safe work worth,,Here's what happens when a cowardly troll tries to insult one hella confident vlogger.
1484,epic response fat people sexy slightly safe work worth,,"Personally, I think every asshole comment should get shut down with a dance break. "
1485,epic response fat people sexy slightly safe work worth,,"I say slightly, because everyone in this video is clothed. But damnit, that girl's got moves! "
1486,tired awards going folks play slaves say,This is very brave of him. ,"When asked how it feels to be overlooked by The Academy, he takes it there. Yep, there."
1487,tired awards going folks play slaves say,This is very brave of him. ,"This is not just about #TheOscars, it's about life. "
1488,tired awards going folks play slaves say,This is very brave of him. ,David Oyelowo makes a really good point. 
1489,bunch celebrities use fame give kids fantastic advice kind greatest,Celebs speaking out? Count me in.,"These celebs don't care if they're talking to 10 people or 10,000 — they'll stand for what's right."
1490,epic response fat people sexy slightly safe work worth,,Bet he feels stupid. 
1491,tired awards going folks play slaves say,This is very brave of him. ,"Heck yeah he was snubbed by #TheOscars, but he knows exactly why."
1492,woman happiness looks like buy avoid like,"Well, she looks happy...not.","And beyond money, it's about feeling the need to treat life as a means to an end. "
1493,woman happiness looks like buy avoid like,"Well, she looks happy...not.",That's another way of looking at things.
1494,woman happiness looks like buy avoid like,"Well, she looks happy...not.",Life is more than a means to some luxurious end.
1495,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1496,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1497,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1498,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1499,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1500,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1501,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1502,still hoping climate change go away handy reference take care,,I've never felt so confident about it.
1503,thinking climate change might go away handy reference handle,In denial? He's got you.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1504,woman happiness looks like buy avoid like,"Well, she looks happy...not.",She seems like she might've been happy once. Once. 
1505,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1506,party unprepared response got gonna nail em,So satisfying.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1507,woman happiness looks like buy avoid like,"Well, she looks happy...not.",Some pretty good food for thought.
1508,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1509,hoping climate change might go away handy reference answer,,I've never felt so confident.
1510,put pit tried get rip apart nd dog glad got,So touching.,And there are a ton of other dogs in the same boat.
1511,put pit tried get rip apart nd dog glad got,So touching.,I'm shocked and disgusted this still happens.
1512,put pit tried get rip apart nd dog glad got,So touching.,"I tore up halfway through, only to get it back together by the end."
1513,put pit tried get rip apart nd dog glad got,So touching.,Let's make sure no other dog will have to go through that again.
1514,party unprepared response got gonna nail em,So satisfying.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1515,party unprepared response got gonna nail em,So satisfying.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1516,party unprepared response got gonna nail em,So satisfying.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1517,party unprepared response got gonna nail em,This is a real confidence booster.,"The perfect answer to ""... well it's cold so global warming isn't real."""
1518,minute movie gay biker gang warm heart,This is no ordinary biker club.,
1519,want change world sometimes easy drinking lattes riding scooters,This is no ordinary biker club.,
1520,outcasts home state got idea road trip,This is no ordinary biker club.,
1521,getting fired country name equality scooters,This is no ordinary biker club.,
1522,came feel accepted continue riding cause larger,This is no ordinary biker club.,
1523,everything different years started riding map bottom proves,This is no ordinary biker club.,
1524,story sweet impact enormous meet sqream scooter gang mission,This is no ordinary biker club.,
1525,ideas trees talking turned idea forest totally upside,,
1526,dedicated work trees talk found like vast underground chatroom,,
1527,buy happiness really happy avoid,"Well, she looks happy...not.",Some pretty good food for thought.
1528,happiness looks like buy person,"Well, she looks happy...not.",Some pretty good food for thought.
1529,life game us playing time stop,"Well, she looks happy...not.",Some pretty good food for thought.
1530,moment born life game supposed win quit game,"Well, she looks happy...not.",Some pretty good food for thought.
1531,one man explains lives hoax right hear,"Well, she looks happy...not.",Some pretty good food for thought.
1532,find happens body see someone love awesome,<3,
1533,science heart happens body love,<3,
1534,students killed north carolina last night yet one using word,Heartbreaking.,
1535,students killed north carolina last night yet one using word,Heartbreaking.,"How is Chapel Hill, North Carolina different from Paris? One missing word."
1536,students killed north carolina last night yet one using word,Heartbreaking.,"What just happened in Chapel Hill, North Carolina is shocking and awful. "
1537,students killed north carolina last night yet one using word,Heartbreaking.,"Our hearts go out to the people of Chapel Hill, North Carolina today. Just so awful. "
1538,bill reilly sent reporter try humiliate town kids ready,They're as sick of this nonsense as you are. But they made a video about it.,This is a fantastic class assignment.
1539,may erotic person even know,Stories that matter. Share them. ,Sex is only a small piece of the puzzle.
1540,whether julia child king ordering takeout need food tips,,
1541,whether julia child king ordering takeout need food tips,,
1542,whether julia child king ordering takeout need food tips,,
1543,whether julia child king ordering takeout need food tips,,
1544,charity put face poster told london secret would handled,I hope I'd have the wherewithal to make it through that nightmare. But what she did with the opportunity? Amazing.,Kudos for not caving into shame!
1545,charity put face poster told london secret would handled,They took away her privacy but they didn't take away her pride.,Kudos for not caving into shame!
1546,charity put face poster told london secret would handled,She keeps saying this million dollar word that you've probably never heard of. But it saved her life and she doesn't understand why it's not common knowledge.,Kudos for not caving into shame!
1547,charity put face poster told london secret would handled,"She was doing her show and an audience members said to her ""the cancer makes me want to live but the depression makes me want to die"". Heavy.",Kudos for not caving into shame!
1548,charity put face poster told london secret would handled,She keeps saying a million dollar word that you've probably never heard of because it saved her life.,Kudos for not caving into shame!
1549,charity put face poster told london secret would handled, I think most people would have had a meltdown. She made it into a home run.,Kudos for not caving into shame!
1550,charity put face poster told london secret would handled,Props to her for turning it around.,Kudos for not caving into shame!
1551,charity put face poster told london secret would handled,I love what she did with the opportunity!,Kudos for not caving into shame!
1552,deaf woman went starbucks got lot tasty frappuccino,I went from bummed to beaming in less than three minutes.,
1553,deaf woman went starbucks got lot tasty frappuccino,I went from bummed to beaming in less than three minutes.,"She said it was like ""the heavens had opened."" Imagine that."
1554,charity put face poster told london secret would handled,"Most people would have had a meltdown, but she wouldn't cave in to shame.",Kudos for not caving into shame!
1555,hilarious skit race snl last season shown every year,,
1556,hilarious skit race snl last season shown every year,,
1557,hilarious skit race snl last season shown every year,,
1558,hilarious skit race snl last season shown every year,,
1559,hilarious skit race snl last season shown every year,,
1560,taught rd grade got married one interviews sad,,
1561,taught rd grade got married one interviews sad,Heartbreaking.,
1562,taught rd grade got married one interviews sad,In loving memory.,
1563,taught rd grade got married one interviews sad,"It's a beautiful reunion, but knowing what happen next makes my heart hurt.",
1564,taught rd grade got married one interviews sad,Heartbreaking.,
1565,taught rd grade got married one interviews sad,Heartbreaking.,One of the last times her voice was recorded. So terrible.
1566,taught rd grade got married one interviews sad,Heartbreaking.,"Her student died in the shooting in Chapel Hill, North Carolina. Her tribute at the end had me tearing up."
1567,taught rd grade got married one interviews sad,Before the terrible tragedy.,
1568,killed hundreds missing made slaves stay quiet,Stories and voices that matter. Share them. ,
1569,killed hundreds missing made slaves stay quiet,Stories and voices that matter. Share them. ,
1570,killed hundreds missing made slaves stay quiet,Stories and voices that matter. Share them. ,
1571,dog verge death meets prisoner hope,An incredible story of second chances. ,*tears*
1572,made cool invention using save million people,It's so deceptively simple.,
1573,made cool invention using save million people,It's so deceptively simple.,
1574,made cool invention using save million people,It's so deceptively simple.,
1575,made cool invention using save million people,It's so deceptively simple.,
1576,made cool invention using save million people,It's so deceptively simple.,
1577,remember ruined summer camp play wednesday still always wanted,They look pretty scared.,
1578,remember ruined summer camp play wednesday still always wanted,They look pretty scared.,
1579,made cool invention using save million people,It's so deceptively simple.,
1580,killed hundreds missing say care nothing,"She doesn’t scream or yell, but when she asks if anyone cares, it’s heartwrenching.",So far our silence has been deadly. 
1581,killed hundreds missing stay quiet,She's tired of watching from the sidelines as her home is destroyed. ,So far our silence has been deadly. 
1582,killed hundreds missing stay quiet,Stories and voices that matter. Share them. ,So far our silence has been deadly. 
1583,killed hundreds missing stay quiet,"They're our brothers, sisters, mothers, fathers and friends. ",So far our silence has been deadly. 
1584,killed hundreds missing stay quiet,"Wow, she's brave for speaking up like this.",So far our silence has been deadly. 
1585,comic bullying ending see coming,,
1586,wanted get revenge bully tried discovered something sad,,
1587,fox news finally went walmart shady practices psych,,
1588,smartest money move could make dumb,"If anyone is really against abortions, here's how you could prevent about 26 MILLION of them in just one year. ",Can you think of one good reason not to do this?
1589,commercial pulled america time change tide,,Let's let'em know we are ready. 
1590,listen parts auditioned try say wtf,,"It starts off pretty bad, and then just gets worse. "
1591,things never ask friend assaulted attacked,Things that matter. Pass them on.,
1592,minutes help prevent rape sexual assault,Things that matter. Pass them on.,
1593,call news sadly nothing new,,
1594,waiting justice long time,,
1595,guy easily explains guys help prevent rape,Things that matter. Pass them on.,
1596,guy easily explains guys help prevent rape,Things that matter. Pass them on.,
1597,guy easily explains guys help prevent rape,Things that matter. Pass them on.,
1598,guy easily explains guys help prevent rape,Things that matter. Pass them on.,
1599,guy easily explains guys help prevent rape,Things that matter. Pass them on.,
1600,guy easily explains guys help prevent rape,Things that matter. Pass them on.,
1601,things say friend assaulted attacked,Things that matter. Pass them on.,
1602,rare behind curtain look acting less glam racist,Hollywood's definitely missing something.,
1603,rare behind curtain look acting less glam racist,"Listen to the parts they've auditioned for and try not to say ""WTF?""",
1604,things tell young men help prevent rape sexual assault,Things that matter. Pass them on.,
1605,figure puts finger right police problem,,
1606,arguing anger frustration long ago,,
1607,bosses horrible grounds sue really hope win,"I'm sorry, but what year is it again?",
1608,thought alan cumming lost mind watched video wrong,"The ""Celibacy Challenge"" is so not what you would expect.","The FDA thinks gay men shouldn’t have sex for a year. Yes, seriously. #celibacychallenge"
1609,group mcdonald employees fired really bad reason lovin nope,"I'm sorry, but what year is it again?",
1610,since anyone fit profile work mcdonald,"I'm sorry, but what year is it again?",
1611,mcdonald deal racist store managers like hope,"I'm sorry, but what year is it again?",
1612,thought alan cumming lost mind watched video wrong,"The ""Celibacy Challenge"" is so not what you would expect.","The FDA thinks gay men shouldn’t have sex for a year. Yes, seriously. #celibacychallenge"
1613,thought alan cumming lost mind watched video wrong,"The ""Celibacy Challenge"" is so not what you would expect.",
1614,trans men prove important point simple photo shoot,2 guys want us to start seeing each other differently.,He photographed his body after his transition to challenge how we define sexy.
1615,chilling words years ago,He probably hoped he wasn't seeing the future.,
1616,teens live social media world grownups know almost nothing,It can be as much about being Liked as being liked.,
1617,teens live social media world grownups know almost nothing,It can be as much about being Liked as being liked.,Teens are inventing their own strategies for surviving the internet.
1618,teens live social media world grownups know almost nothing,It can be as much about being Liked as being liked.,The world of a digital teen.
1619,teens live social media world grownups know almost nothing,It can be as much about being Liked as being liked.,Figuring out who your BFFs really are.
